,Ward name,"A1a - % KS2 students achieving expected standard in reading, writing, and maths in town centre areas",Ward rank
0,Herne Hill,0.806719022687609,10
1,Coldharbour,0.806719022687609,10
2,Ferndale,0.806719022687609,10
3,Brixton Hill,0.806719022687609,10
4,Tulse Hill,0.806719022687609,10
5,Stockwell,0.8219178082191781,5
6,Larkhall,0.8219178082191781,5
7,Clapham Town,0.8219178082191781,5
8,Clapham Common,0.8219178082191781,5
9,Thornton,0.8219178082191781,5
10,Bishop's,0.7418079096045198,18
11,Prince's,0.7418079096045198,18
12,Oval,0.7418079096045198,18
13,Vassall,0.7418079096045198,18
14,Thurlow Park,0.7892918825561313,15
15,Knight's Hill,0.7892918825561313,15
16,Gipsy Hill,0.7892918825561313,15
17,Streatham Hill,0.8494983277591973,1
18,St Leonard's,0.8494983277591973,1
19,Streatham Wells,0.8494983277591973,1
20,Streatham South,0.8494983277591973,1
